,City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
0,Grootfontein,NA,1551675600,-19.56,18.1,0,52,66.2,5.82
1,Hilo,US,1551678862,19.71,-155.08,90,68,72.0,11.41
2,Yellowknife,CA,1551678848,62.45,-114.38,5,54,1.99,6.93
3,Lensk,RU,1551679003,60.71,114.91,68,67,17.25,5.14
4,Kapaa,US,1551678809,22.08,-159.32,90,60,69.8,16.11
5,Marzuq,YE,1551679004,14.4,46.47,0,57,72.11,1.68
6,Jamestown,AU,1551678930,-33.21,138.6,80,79,79.4,1.12
7,Fuling,CN,1551679005,29.71,107.39,88,84,56.9,4.14
8,Gold Coast,AU,1551678728,-28.0,153.41,75,65,84.99,16.11
9,Oksovskiy,RU,1551679005,62.61,39.91,88,87,12.8,3.91
10,Saint-Philippe,CA,1551678906,45.36,-73.48,90,100,26.6,3.36
11,Puerto Ayora,EC,1551678744,-0.74,-90.35,68,100,79.04,1.34
12,Bredasdorp,ZA,1551678314,-34.53,20.04,80,77,66.2,5.82
13,Bilibino,RU,1551679006,68.06,166.44,64,79,-2.33,2.35
14,Busselton,AU,1551678911,-33.64,115.35,0,14,93.99,21.81
15,Taguatinga,BR,1551675600,-15.83,-48.06,40,88,69.8,3.36
16,Colares,PT,1551678942,38.8,-9.45,75,87,57.2,4.7
17,Ushuaia,AR,1551675600,-54.81,-68.31,20,70,44.6,5.82
18,Rikitea,PF,1551679008,-23.12,-134.97,92,98,80.57,11.18
19,Gediz,TR,1551675000,38.99,29.39,75,88,32.0,3.36
20,Butaritari,KI,1551679009,3.07,172.79,88,100,81.78,7.49
21,Aklavik,CA,1551675600,68.22,-135.01,90,61,17.6,5.82
22,Barahona,DO,1551679010,18.21,-71.1,68,97,78.05,13.09
23,New Norfolk,AU,1551678974,-42.78,147.06,75,40,71.6,17.22
24,Hobart,AU,1551678854,-42.88,147.33,75,40,71.6,17.22
25,Vila Franca do Campo,PT,1551678972,37.72,-25.43,40,72,59.0,12.75
26,Port Alfred,ZA,1551678624,-33.59,26.89,0,81,71.01,5.99
27,Mataura,NZ,1551678605,-46.19,168.86,88,56,69.01,10.0
28,Ystad,SE,1551678725,55.43,13.82,75,100,46.4,10.29
29,Bluff,AU,1551679012,-23.58,149.07,80,34,91.23,14.65
30,Qaqortoq,GL,1551675000,60.72,-46.03,88,36,30.2,5.82
31,Nicolas Bravo,MX,1551679014,24.39,-104.74,0,63,48.08,3.36
32,Punta Arenas,CL,1551678789,-53.16,-70.91,75,86,41.0,17.22
33,Oranjestad,AW,1551678993,12.52,-70.03,44,96,77.15,25.28
34,Hermanus,ZA,1551678322,-34.42,19.24,92,92,66.99,3.91
35,Tabas,IR,1551678786,33.6,56.92,0,35,56.4,4.03
36,Vallentuna,SE,1551678983,59.53,18.08,90,100,34.0,5.82
37,Havre-Saint-Pierre,CA,1551675600,50.23,-63.6,20,60,5.0,6.93
38,Nueva Guinea,NI,1551679017,11.69,-84.46,68,78,75.08,4.36
39,Leshukonskoye,RU,1551679017,64.9,45.76,64,80,7.98,3.36
40,San Rafael del Sur,NI,1551675600,11.85,-86.44,20,69,78.8,9.17
41,East London,ZA,1551677220,-33.02,27.91,0,73,73.4,14.99
42,Loralai,PK,1551678954,30.37,68.6,0,100,45.6,5.37
43,Vaini,IN,1551675600,15.34,74.49,0,18,87.8,6.93
44,Phayao,TH,1551679019,19.17,99.9,0,38,89.7,8.39
45,Norman Wells,CA,1551675600,65.28,-126.83,20,51,12.2,18.34
46,Qaanaaq,GL,1551679020,77.48,-69.36,48,84,-6.38,5.7
47,Kizema,RU,1551679021,61.11,44.83,36,59,-2.82,3.13
48,Tongchuan,CN,1551675600,34.9,108.95,76,54,53.6,4.47
49,Naze,NG,1551679022,5.43,7.07,68,94,72.74,8.39
50,Fernie,CA,1551675600,49.5,-115.06,5,59,-0.41,5.82
51,Marmaris,TR,1551678964,36.85,28.27,20,100,55.4,5.82
52,Lebu,ET,1551675600,8.96,38.73,0,67,62.6,9.17
53,Morondava,MG,1551679023,-20.3,44.28,36,78,85.92,3.69
54,Mount Isa,AU,1551675600,-20.73,139.49,40,24,93.2,8.05
55,Kulhudhuffushi,MV,1551679025,6.62,73.07,80,100,82.46,8.95
56,Sabla,NG,1551679026,12.75,4.71,8,26,69.45,7.38
57,Puerto Escondido,MX,1551679026,15.86,-97.07,0,100,82.01,6.71
58,Hithadhoo,MV,1551679026,-0.6,73.08,24,98,84.12,13.2
59,Georgetown,GY,1551675600,6.8,-58.16,75,88,75.2,6.93
60,Omsukchan,RU,1551679027,62.53,155.8,76,66,-6.56,8.61
61,Bambous Virieux,MU,1551678846,-20.34,57.76,20,70,84.99,5.82
62,Severo-Kurilsk,RU,1551679028,50.68,156.12,68,100,25.04,18.45
63,Mahebourg,MU,1551678846,-20.41,57.7,20,70,84.99,5.82
64,Dikson,RU,1551679029,73.51,80.55,0,94,-8.13,17.78
65,Atuona,PF,1551678855,-9.8,-139.03,12,100,81.38,12.53
66,Nanortalik,GL,1551679030,60.14,-45.24,12,100,23.96,3.13
67,Otradnoye,RU,1551679018,59.77,30.8,40,85,14.0,6.71
68,Halifax,CA,1551678966,44.65,-63.58,90,85,23.0,9.17
69,Albany,US,1551678817,42.65,-73.75,90,92,32.0,1.68
70,Churapcha,RU,1551679032,62.0,132.43,44,65,-0.75,3.8
71,Barrow,AR,1551678858,-38.31,-60.23,88,95,64.82,13.87
72,Port Elizabeth,US,1551679017,39.31,-74.98,90,100,37.0,17.22
73,Luebo,CD,1551679033,-5.35,21.42,92,94,73.91,2.57
74,Borovskoy,KZ,1551679033,53.8,64.15,0,89,22.07,12.97
75,Lao Cai,VN,1551679034,22.48,103.95,76,86,65.67,2.13
76,Hasaki,JP,1551678575,35.73,140.83,75,93,50.0,20.8
77,Jining,CN,1551679035,35.41,116.58,20,59,63.15,9.95
78,Banda Aceh,ID,1551678919,5.56,95.32,24,67,87.9,4.47
79,Palana,RU,1551679039,59.08,159.95,88,81,12.53,6.93
80,Arraial do Cabo,BR,1551679039,-22.97,-42.02,88,99,77.51,5.93
81,Manchar,IN,1551679039,19.0,73.94,0,47,80.52,3.58
82,Cayenne,GF,1551677400,4.94,-52.33,92,78,77.0,4.7
83,Ribeira Brava,PT,1551678770,32.65,-17.07,20,72,59.0,4.7
84,Arlit,NE,1551679041,18.74,7.39,0,41,51.0,3.58
85,Hambantota,LK,1551676200,6.12,81.12,75,74,86.0,6.93
86,Carnarvon,ZA,1551679041,-30.97,22.13,0,50,62.3,3.36
87,Acajutla,SV,1551679042,13.59,-89.83,0,91,71.84,3.69
88,Muzhi,RU,1551679043,65.4,64.7,68,79,3.75,20.58
89,Shenjiamen,CN,1551679043,29.96,122.3,8,90,49.07,15.66
90,Tuktoyaktuk,CA,1551677820,69.44,-133.03,90,92,23.0,14.99
91,Zhezkazgan,KZ,1551677400,47.8,67.71,90,92,26.6,11.18
92,Thio,NC,1551677400,-21.61,166.22,75,55,87.8,2.24
93,Puri,ID,1551675600,-7.54,112.45,75,74,86.0,5.82
94,Niteroi,BR,1551678973,-29.95,-51.16,0,83,71.6,6.93
95,Rio Cuarto,AR,1551675600,-33.13,-64.35,90,100,64.4,6.93
96,Narsaq,GL,1551675000,60.91,-46.05,48,36,30.2,5.82
97,Scottsbluff,US,1551679032,41.87,-103.67,1,83,-2.21,8.05
98,Thompson,CA,1551675600,55.74,-97.86,90,77,6.8,12.75
99,Lasa,CY,1551677400,34.92,32.53,20,87,53.6,5.82
100,Lorengau,PG,1551679051,-2.02,147.27,36,94,85.02,8.61
101,Thinadhoo,MV,1551678788,0.53,72.93,80,99,83.67,12.53
102,Tabligbo,TG,1551679054,6.59,1.5,0,92,75.57,5.48
103,Padang,ID,1551679054,-0.92,100.36,0,100,83.9,11.07
104,Fare,PF,1551679055,-16.7,-151.02,8,100,83.27,4.14
105,Constitucion,MX,1551678840,23.99,-104.67,0,51,55.91,5.48
106,Rosetta,EG,1551675600,31.4,30.42,40,77,59.0,9.17
107,Castro,CL,1551675600,-42.48,-73.76,75,100,46.4,3.36
108,Yumen,CN,1551679058,40.29,97.04,0,54,44.48,10.4
109,Praya,ID,1551677400,-8.71,116.27,75,59,91.4,2.24
110,Dabakala,CI,1551679060,8.36,-4.43,20,38,65.99,5.14
111,Cape Town,ZA,1551678913,-33.93,18.42,75,82,69.01,10.29
112,Ilave,PE,1551679061,-16.09,-69.64,8,100,34.62,3.24
113,Hobyo,SO,1551678956,5.35,48.53,68,80,80.12,14.32
114,Maryborough,AU,1551679062,-25.54,152.7,80,65,77.37,7.38
115,San Rafael,AR,1551678935,-34.61,-68.33,0,44,53.93,3.36
116,Souillac,FR,1551679029,45.6,-0.6,90,66,52.0,20.8
117,Provideniya,RU,1551679041,64.42,-173.23,92,94,30.75,31.65
118,Apac,UG,1551679064,1.98,32.53,44,76,76.07,4.92
119,Lichtenau,DE,1551679018,51.62,8.9,0,62,55.0,32.21
120,Bethel,US,1551675360,60.79,-161.76,90,74,35.6,12.75
121,San Quintin,PH,1551679066,17.54,120.52,0,45,84.53,6.6
122,Raudeberg,NO,1551678904,61.99,5.14,75,80,41.0,6.93
123,Eyl,SO,1551679067,7.98,49.82,100,94,78.27,12.19
124,Tura,IN,1551678991,25.52,90.21,8,60,71.48,4.81
125,Kodiak,US,1551679024,39.95,-94.76,1,28,3.0,12.75
126,Atar,MR,1551678878,20.52,-13.05,0,40,50.15,4.59
127,Hoquiam,US,1551679060,46.98,-123.89,1,41,41.0,12.75
128,Buala,SB,1551679070,-8.15,159.59,64,87,84.8,4.14
129,Bodden Town,KY,1551677403,19.28,-81.25,0,76,78.01,1.01
130,Cam Ranh,VN,1551675600,11.92,109.15,20,58,86.0,11.41
131,Khatanga,RU,1551678880,71.98,102.47,0,67,-9.26,10.4
132,Harper,US,1551679003,30.3,-99.24,40,80,34.0,8.05
133,Victoria,BN,1551675600,5.28,115.24,75,70,87.8,6.93
134,Kavieng,PG,1551679048,-2.57,150.8,36,100,83.22,2.68
135,Russkaya Polyana,RU,1551679073,53.78,73.88,8,93,30.08,13.76
136,Kailua,US,1551678915,21.39,-157.74,90,77,73.4,8.05
137,Jiangyou,CN,1551679075,31.78,104.73,92,93,50.55,7.16
138,Marawi,PH,1551678352,8.0,124.29,44,76,81.0,11.99
139,Karratha,AU,1551679076,-20.74,116.85,8,23,103.16,4.47
140,Ahipara,NZ,1551679076,-35.17,173.16,20,67,70.13,10.51
141,Faanui,PF,1551679077,-16.48,-151.75,0,100,83.72,4.59
142,Xiaoweizhai,CN,1551679078,26.23,107.51,92,95,56.99,9.95
143,Eagle,US,1551678983,43.7,-116.35,90,92,33.8,2.46
144,Lavrentiya,RU,1551678801,65.58,-170.99,88,95,28.46,35.34
145,Tiksi,RU,1551678861,71.64,128.87,24,69,1.37,8.61
